Waste type,Initial pH,Initial carbon to nitrogen,Initial moisture content (%),Compost time (day),pH,Temperature (℃),Moisture content (%),EC（ms/cm-1）,Ammonia氨mg/kg,Nitrate硝酸盐mg/kg,总氮(%),总有机碳变化(%),有机质含量变化(%),C/N,GI (%),NH4+-N (g/Kg),NO3--N (g/Kg),CO2 (g/Kg),CH4 (g/Kg),N2O (g/Kg),NH3 (g/Kg),segment,Temperature_corr,Moisture_corr,pH_corr,batch_id
sludge waste composting,8.01378,10.054,53.668,0.0,29.772,53.668,8.01378,3.9202,42.27,828.65,2.464,24.773056,44.848,10.054,48.778,,,,,,,Segment A: calibrated,29.772,53.668,8.01378,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.01378,10.054,53.668,2.0,43.537,50.151,7.35213,4.2153,207.22,291.85,2.226,18.139674,44.47,8.149,31.122,,,,,,,Segment A: calibrated,43.537,50.151,7.35213,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.01378,10.054,53.668,5.0,79.707,41.357,7.40226,4.0216,81.44,623.79,2.38,18.088,43.838,7.6,29.925,,,,,,,Segment A: calibrated,79.707,41.357,7.40226,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.01378,10.054,53.668,10.0,80.026,42.487,7.28697,2.966,171.13,756.51,2.338,19.496582,43.207,8.339,51.471,,,,,,,Segment A: calibrated,80.026,42.487,7.28697,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.01378,10.054,53.668,17.0,79.858,44.246,7.17168,2.7451,125.77,929.46,2.016,21.855456,44.217,10.841,53.267,,,,,,,Segment A: calibrated,79.858,44.246,7.17168,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.01378,10.054,53.668,24.0,75.114,35.327,7.04135,2.9229,339.18,503.94,2.226,23.197146,43.586,10.421,83.192,,,,,,,Segment A: calibrated,75.114,35.327,7.04135,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.01378,10.054,53.668,30.0,39.06,30.553,6.95614,3.0366,141.24,514.06,2.296,22.656928,40.808,9.868,97.257,,,,,,,Segment A: calibrated,39.06,30.553,6.95614,sludge waste composting|8.014|10.054|53.668
sludge waste composting,8.23935,9.171,58.693,0.0,26.209,58.693,8.23935,1.2854,68.04,398.96,2.387,21.891177,48.384,9.171,43.392,,,,,,,Segment A: calibrated,26.209,58.693,8.23935,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,2.0,38.955,58.568,7.70802,1.2848,78.35,451.44,1.82,21.25942,46.111,11.681,17.955,,,,,,,Segment A: calibrated,38.955,58.568,7.70802,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,5.0,38.995,56.181,7.67794,1.2838,296.91,415.08,2.051,20.464878,45.48,9.978,15.86,,,,,,,Segment A: calibrated,38.995,56.181,7.67794,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,10.0,62.723,56.683,7.46742,1.6164,64.95,314.57,1.666,19.778752,42.449,11.872,18.554,,,,,,,Segment A: calibrated,62.723,56.683,7.46742,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,17.0,61.284,45.754,7.2619,1.6783,67.01,395.45,1.295,18.35015,42.323,14.17,58.953,,,,,,,Segment A: calibrated,61.284,45.754,7.2619,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,24.0,61.118,41.482,7.40226,1.7918,98.97,350.48,1.379,19.055022,43.207,13.818,65.536,,,,,,,Segment A: calibrated,61.118,41.482,7.40226,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,30.0,52.288,37.337,7.39223,1.8542,56.7,320.7,0.973,19.913418,42.323,20.466,90.374,,,,,,,Segment A: calibrated,52.288,37.337,7.39223,sludge waste composting|8.239|9.171|58.693
sludge waste composting,8.23935,9.171,58.693,36.0,30.736,30.678,7.31203,1.7622,7.22,367.65,1.134,17.341128,43.081,15.292,93.067,,,,,,,Segment A: calibrated,30.736,30.678,7.31203,sludge waste composting|8.239|9.171|58.693
sludge waste composting,7.60917,19.8776,67.291,1.0,48.497,67.291,7.60917,0.17716,2033.8,328.7,2.04159,40.581909384,73.5878,19.8776,25.07,,,,,,,Segment A: calibrated,48.497,67.291,7.60917,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,3.0,65.129,66.023,7.77508,1.76472,5000.0,745.64,1.87693,38.085162016,72.7445,20.2912,27.811,,,,,,,Segment A: calibrated,65.129,66.023,7.77508,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,5.0,67.247,66.079,8.18173,1.03347,5000.0,572.01,1.84266,37.072845072,72.9219,20.1192,28.103,,,,,,,Segment A: calibrated,67.247,66.079,8.18173,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,7.0,57.086,64.389,8.32692,0.92256,5000.0,465.31,1.86055,36.47868752,71.8321,19.6064,16.93,,,,,,,Segment A: calibrated,57.086,64.389,8.32692,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,10.0,49.286,62.457,8.71041,1.32849,4512.1,526.03,1.89642,34.634887386,69.4406,18.2633,14.311,,,,,,,Segment A: calibrated,49.286,62.457,8.71041,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,13.0,44.215,60.224,8.58126,1.1769,4190.5,882.01,1.87613,33.666777624,69.2317,17.9448,16.13,,,,,,,Segment A: calibrated,44.215,60.224,8.58126,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,16.0,42.989,56.187,8.42107,1.64927,4573.7,796.6,1.90395,32.5842003,69.6912,17.114,21.92,,,,,,,Segment A: calibrated,42.989,56.187,8.42107,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,19.0,39.903,55.097,8.57671,1.43123,4232.0,851.2,1.96791,34.108406493,69.7991,17.3323,26.03,,,,,,,Segment A: calibrated,39.903,55.097,8.57671,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,24.0,35.711,51.897,8.46334,1.47515,4001.5,905.7,2.06582,34.842739866,68.6058,16.8663,45.112,,,,,,,Segment A: calibrated,35.711,51.897,8.46334,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,29.0,28.416,50.681,8.3137,1.61878,3549.5,941.91,2.12158,33.087313048,67.9405,15.5956,51.046,,,,,,,Segment A: calibrated,28.416,50.681,8.3137,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,34.0,28.938,49.947,8.23911,1.21595,2795.5,1017.71,2.13922,32.470364692,65.5507,15.1786,60.344,,,,,,,Segment A: calibrated,28.938,49.947,8.23911,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,41.0,30.461,47.946,7.89553,1.17852,2353.9,1123.84,2.18482,32.142634876,64.464,14.7118,75.591,,,,,,,Segment A: calibrated,30.461,47.946,7.89553,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.60917,19.8776,67.291,48.0,30.992,47.328,7.72279,1.01551,1751.3,1166.02,2.20031,31.182353258,63.7298,14.1718,82.887,,,,,,,Segment A: calibrated,30.992,47.328,7.72279,sludge waste composting|7.609|19.878|67.291
sludge waste composting,7.54704,21.0485,65.366,1.0,38.077,65.366,7.54704,0.40977,2104.2,362.2,1.9754,41.5792069,75.5239,21.0485,21.095,,,,,,,Segment A: calibrated,38.077,65.366,7.54704,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,3.0,56.57,64.398,7.63525,1.69825,4349.6,818.69,1.90702,37.765289166,76.5811,19.8033,24.14,,,,,,,Segment A: calibrated,56.57,64.398,7.63525,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,5.0,57.697,63.732,7.54747,2.2224,4148.7,565.93,1.92891,37.397514189,76.9348,19.3879,30.398,,,,,,,Segment A: calibrated,57.697,63.732,7.54747,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,7.0,68.871,62.705,7.98779,1.68318,5000.0,440.97,1.89065,36.469315045,75.8098,19.2893,20.6,,,,,,,Segment A: calibrated,68.871,62.705,7.98779,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,10.0,60.698,61.916,8.68972,1.06634,4411.5,775.65,1.83827,34.245867138,74.3686,18.6294,16.605,,,,,,,Segment A: calibrated,60.698,61.916,8.68972,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,13.0,49.053,56.796,8.47513,0.98489,3445.6,1015.95,1.96038,33.840275598,71.5197,17.2621,20.257,,,,,,,Segment A: calibrated,49.053,56.796,8.47513,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,16.0,44.85,52.338,8.5816,1.61237,4060.3,827.04,2.05243,34.875301046,71.6627,16.9922,21.003,,,,,,,Segment A: calibrated,44.85,52.338,8.5816,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,19.0,40.151,50.826,8.51199,1.2946,3758.9,887.73,2.06821,31.155308619,71.3126,15.0639,39.792,,,,,,,Segment A: calibrated,40.151,50.826,8.51199,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,24.0,44.766,48.889,8.4737,1.36806,3467.9,939.19,2.15008,31.491791744,69.8378,14.6468,58.11,,,,,,,Segment A: calibrated,44.766,48.889,8.4737,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,29.0,32.014,47.073,8.42762,1.45263,2864.9,1118.47,2.19984,31.732692,67.5533,14.425,75.205,,,,,,,Segment A: calibrated,32.014,47.073,8.42762,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,34.0,32.659,46.64,8.35306,1.01287,2322.3,1124.26,2.22351,30.170362488,66.4305,13.5688,82.82,,,,,,,Segment A: calibrated,32.659,46.64,8.35306,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,41.0,28.476,45.659,7.75829,1.27819,1830.4,1260.8,2.29716,28.864734264,65.0626,12.5654,85.987,,,,,,,Segment A: calibrated,28.476,45.659,7.75829,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.54704,21.0485,65.366,48.0,29.007,44.26,7.6477,1.05613,1560.0,1281.69,2.34274,28.34363989,64.5394,12.0985,86.098,,,,,,,Segment A: calibrated,29.007,44.26,7.6477,sludge waste composting|7.547|21.048|65.366
sludge waste composting,7.37099,22.219,63.441,1.0,36.093,63.441,7.37099,0.60547,1681.4,432.21,1.94529,43.22239851,77.5656,22.219,28.128,,,,,,,Segment A: calibrated,36.093,63.441,7.37099,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,3.0,48.507,61.692,7.57313,1.59486,3846.3,739.54,1.78866,39.915021096,78.3413,22.3156,30.256,,,,,,,Segment A: calibrated,48.507,61.692,7.57313,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,5.0,66.504,60.845,7.63031,1.76455,3786.2,468.5,1.76644,38.90054168,77.9907,22.022,33.608,,,,,,,Segment A: calibrated,66.504,60.845,7.63031,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,7.0,65.149,61.021,7.50104,2.09302,4914.1,300.95,1.81441,37.653906407,77.0065,20.7527,21.822,,,,,,,Segment A: calibrated,65.149,61.021,7.50104,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,10.0,62.187,57.885,8.48001,1.33587,3364.4,723.9,1.85229,36.539939601,76.1992,19.7269,19.357,,,,,,,Segment A: calibrated,62.187,57.885,8.48001,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,13.0,52.03,55.653,8.28874,1.16581,3153.6,824.18,1.95638,36.58626238,72.8923,18.701,23.008,,,,,,,Segment A: calibrated,52.03,55.653,8.28874,sludge waste composting|7.371|22.219|63.441
