validation,seed,model,feature_set,target,train_n,test_n,train_r2,test_r2,gap,test_rmse,test_mae
random,0,Ridge,P1,GI (%),1928,643,0.4793043901118039,0.49041706937330853,-0.01111267926150461,24.098181818580784,18.10796376018387
random,0,KNN,P1,GI (%),1928,643,0.9999999999999588,0.7794704912400445,0.22052950875991428,15.852953864638593,11.129180319017804
random,0,SVR,P1,GI (%),1928,643,0.7671526646864999,0.7337074898823535,0.03344517480414644,17.420327539614735,11.932453591623277
random,0,RF,P1,GI (%),1928,643,0.7997376844779479,0.7507056283090774,0.04903205616887052,16.85516768501142,12.143142712115084
random,0,ExtraTrees,P1,GI (%),1928,643,0.7611260478107775,0.7230699595623513,0.03805608824842621,17.764863516962112,13.143451753335807
random,0,HGB,P1,GI (%),1928,643,0.9417651402910752,0.8499210472621557,0.0918440930289195,13.077861568397816,9.150908566617872
random,0,XGBoost,P1,GI (%),1928,643,0.9395876233164473,0.8565247387865997,0.08306288452984756,12.786902472415981,8.840461491798836
random,0,LightGBM,P1,GI (%),1928,643,0.8812714440421975,0.8225423748561986,0.05872906918599885,14.220804738898766,10.227055149597287
random,0,CatBoost,P1,GI (%),1928,643,0.808381274015147,0.7718571830297265,0.03652409098542053,16.12427663679913,11.915970623985098
random,7,Ridge,P1,GI (%),1928,643,0.49081566287866085,0.45198147745306716,0.03883418542559369,24.818350733202642,18.386456364282033
random,7,KNN,P1,GI (%),1928,643,0.999999999999955,0.7678825274046813,0.2321174725952737,16.152108212056813,10.752772315635463
random,7,SVR,P1,GI (%),1928,643,0.7667432316686948,0.7241614737600651,0.042581757908629725,17.607705301653166,11.8493795410965
random,7,RF,P1,GI (%),1928,643,0.8078527432409345,0.7018510707737816,0.10600167246715286,18.305935421360754,12.622544732451155
random,7,ExtraTrees,P1,GI (%),1928,643,0.7701555270571208,0.6959871809660114,0.07416834609110934,18.48507628679457,13.188506617210566
random,7,HGB,P1,GI (%),1928,643,0.9436076016553424,0.8356204794487554,0.10798712220658702,13.592494115888515,9.140295731446418
random,7,XGBoost,P1,GI (%),1928,643,0.9439704022616389,0.8202015681129399,0.12376883414869899,14.215699968424222,9.468436553840787
random,7,LightGBM,P1,GI (%),1928,643,0.8872582332616872,0.7867439417317874,0.10051429152989977,15.481961665951467,10.676472157660362
random,7,CatBoost,P1,GI (%),1928,643,0.8234982026125375,0.7408079399966953,0.08269026261584222,17.068138003321753,12.065012654667616
random,21,Ridge,P1,GI (%),1928,643,0.49639660637230876,0.4377024354961617,0.058694170876147034,25.339057138233056,18.908259148300356
random,21,KNN,P1,GI (%),1928,643,0.999999999999941,0.7449094131075971,0.255090586892344,17.06689694522979,11.588276058571235
random,21,SVR,P1,GI (%),1928,643,0.777405472819656,0.7169092890724033,0.06049618374725274,17.979191539037732,11.729407073678296
random,21,RF,P1,GI (%),1928,643,0.8070189418782219,0.7102172964772118,0.0968016454010101,18.19045572351449,12.361830553975961
random,21,ExtraTrees,P1,GI (%),1928,643,0.7704050853053409,0.6878100220099319,0.082595063295409,18.8806450691983,13.365644144537827
random,21,HGB,P1,GI (%),1928,643,0.9396538060842436,0.838717690441341,0.10093611564290261,13.57065208686314,8.899276673309636
random,21,XGBoost,P1,GI (%),1928,643,0.9450538978406817,0.842720661990304,0.10233323585037768,13.401184485287617,8.605713153540005
random,21,LightGBM,P1,GI (%),1928,643,0.8817934988768056,0.7883964000483088,0.09339709882849678,15.544217899224533,10.255582612240328
random,21,CatBoost,P1,GI (%),1928,643,0.8212420694323987,0.7501199656496234,0.07112210378277539,16.89169099325787,11.819621902624979
random,42,Ridge,P1,GI (%),1928,643,0.488541264150527,0.46179011616499266,0.02675114798553435,24.44056565287706,18.618353561664176
random,42,KNN,P1,GI (%),1928,643,0.9999999999999265,0.7733715954388687,0.22662840456105782,15.85961313072755,11.124125838021701
random,42,SVR,P1,GI (%),1928,643,0.7715131362545993,0.7364210987530837,0.03509203750151557,17.10372637672317,11.760606274105385
random,42,RF,P1,GI (%),1928,643,0.808577692251288,0.7292497704690546,0.07932792178223336,17.3348399103331,12.657317686577802
random,42,ExtraTrees,P1,GI (%),1928,643,0.7681695580689504,0.7078610585602347,0.06030849950871564,18.006534777265006,13.26643622209557
random,42,HGB,P1,GI (%),1928,643,0.9393581751029613,0.8413825240349736,0.09797565106798767,13.268167206611471,9.084961339735164
random,42,XGBoost,P1,GI (%),1928,643,0.9451008288980322,0.8479321373997017,0.0971686914983304,12.9913456957504,8.8335017699659
random,42,LightGBM,P1,GI (%),1928,643,0.88157526123819,0.7926726211024115,0.08890264013577842,15.169237364364411,10.840327329795757
random,42,CatBoost,P1,GI (%),1928,643,0.8200797963803088,0.7604512930344028,0.05962850334590597,16.30543291578614,12.013244311082518
random,84,Ridge,P1,GI (%),1928,643,0.4730111769021693,0.5059376874755018,-0.03292651057333251,23.855212787865753,17.8879842130122
random,84,KNN,P1,GI (%),1928,643,0.9999999999999702,0.7693149841087814,0.23068501589118884,16.300544973837237,10.790478506828233
random,84,SVR,P1,GI (%),1928,643,0.7656616139991363,0.7282209021068942,0.037440711892242184,17.69295845676966,11.57339052073043
random,84,RF,P1,GI (%),1928,643,0.8073963730845781,0.7202883439135432,0.08710802917103488,17.949308157664852,12.070020932204159
random,84,ExtraTrees,P1,GI (%),1928,643,0.7704729524821288,0.7030896820682246,0.06738327041390413,18.49290234971458,13.028882279966743
random,84,HGB,P1,GI (%),1928,643,0.9398240816885605,0.8439720427969197,0.09585203889164073,13.405827989907927,8.956837890540147
random,84,XGBoost,P1,GI (%),1928,643,0.9428149296608309,0.8424896707730725,0.10032525888775845,13.469359703143098,8.741375439722427
random,84,LightGBM,P1,GI (%),1928,643,0.8833775805552324,0.7948033806898062,0.08857419986542625,15.373669202942198,10.347354982836306
random,84,CatBoost,P1,GI (%),1928,643,0.8206090545472122,0.7560489335701046,0.06456012097710762,16.7626930260163,11.708339768304155
group,0,Ridge,P1,GI (%),1960,611,0.49155085365019,0.42320217045015807,0.06834868320003196,23.741928571075956,18.150480996893613
group,0,KNN,P1,GI (%),1960,611,0.9999999999999335,0.6551662801236247,0.34483371987630884,18.3573102936388,13.173059435527092
group,0,SVR,P1,GI (%),1960,611,0.777989452017954,0.605783317426053,0.17220613459190104,19.627802745048193,13.599320424113749
group,0,RF,P1,GI (%),1960,611,0.8174755053940862,0.6404557661287833,0.1770197392653029,18.744780076380458,13.3113726528897
group,0,ExtraTrees,P1,GI (%),1960,611,0.7843310831391023,0.6240554214638298,0.16027566167527252,19.16752765130502,14.107896543341159
group,0,HGB,P1,GI (%),1960,611,0.9434507531704341,0.7352929044237556,0.20815784874667853,16.083737511438102,11.011402908859356
group,0,XGBoost,P1,GI (%),1960,611,0.9475785073239754,0.7525929570799554,0.19498555024401998,15.549277510601183,10.596431717747446
group,0,LightGBM,P1,GI (%),1960,611,0.8892974088291828,0.7096131010416763,0.17968430778750655,16.845840902738903,12.180422540476629
group,0,CatBoost,P1,GI (%),1960,611,0.8316332757194922,0.6848436543404725,0.14678962137901974,17.549599639992557,12.92004195636173
group,7,Ridge,P1,GI (%),1933,638,0.5067611900159776,0.3643674151219447,0.14239377489403293,25.495295618812023,18.78909917037998
group,7,KNN,P1,GI (%),1933,638,0.9999999999999648,0.6354957019642857,0.3645042980356791,19.306711300771024,13.764580536841368
group,7,SVR,P1,GI (%),1933,638,0.7938214006120912,0.5827057028083311,0.21111569780376005,20.65752088360316,14.085351588010107
group,7,RF,P1,GI (%),1933,638,0.8196836851414092,0.617088426099283,0.20259525904212616,19.78819686970585,13.98039582154368
group,7,ExtraTrees,P1,GI (%),1933,638,0.7893527313507588,0.5894347016091812,0.19991802974157757,20.49028954274975,14.842803138734846
group,7,HGB,P1,GI (%),1933,638,0.9432116821352294,0.7172329116592164,0.225978770476013,17.004795193097248,11.83871741550989
group,7,XGBoost,P1,GI (%),1933,638,0.9503801740790522,0.7242965795851157,0.22608359449393645,16.79105764889467,11.590882939984118
group,7,LightGBM,P1,GI (%),1933,638,0.8949440450613714,0.6770054529301552,0.21793859213121614,18.17416936372065,12.87983821556614
group,7,CatBoost,P1,GI (%),1933,638,0.8340556226643986,0.6468265471436145,0.18722907552078405,19.004261658442246,13.903670893390363
group,21,Ridge,P1,GI (%),1911,660,0.47818670072313496,0.46682115407644753,0.01136554664668743,22.07742997995794,16.92309380018085
group,21,KNN,P1,GI (%),1911,660,0.9999999999999272,0.7447882335565638,0.2552117664433634,15.27433838486973,11.451740527693326
group,21,SVR,P1,GI (%),1911,660,0.7566489171646145,0.7310179587264349,0.02563095843817953,15.68099814496253,11.519343865399716
group,21,RF,P1,GI (%),1911,660,0.8060799301292985,0.7023244837506681,0.10375544637863032,16.49618880564247,12.112145707593584
group,21,ExtraTrees,P1,GI (%),1911,660,0.7673995853322624,0.6955435261762433,0.07185605915601911,16.68301988590214,12.68140091712144
group,21,HGB,P1,GI (%),1911,660,0.943856677902138,0.7448818306034085,0.1989748472987295,15.271537252135621,10.99141300190373
group,21,XGBoost,P1,GI (%),1911,660,0.9481391031421084,0.7822546016056793,0.16588450153642909,14.108685539448196,10.093268924338165
group,21,LightGBM,P1,GI (%),1911,660,0.8901150655110464,0.7297776035752256,0.16033746193582077,15.717111403416796,11.548490489345232
group,21,CatBoost,P1,GI (%),1911,660,0.8206424724802993,0.7195229851583225,0.10111948732197684,16.012557385128652,12.179998016240425
group,42,Ridge,P1,GI (%),1966,605,0.4972818802892871,0.38475997859510247,0.11252190169418463,26.49387297698744,19.81539223139509
group,42,KNN,P1,GI (%),1966,605,0.9999999999999492,0.6319657960742864,0.3680342039256628,20.49119337349164,14.908182768683439
group,42,SVR,P1,GI (%),1966,605,0.7790995540743838,0.6400281022274714,0.1390714518469124,20.26550634571649,14.679809877116872
group,42,RF,P1,GI (%),1966,605,0.8137947485771457,0.641868223113595,0.1719265254635507,20.2136429080974,14.937913414732687
group,42,ExtraTrees,P1,GI (%),1966,605,0.7774662144904818,0.6280528904031515,0.14941332408733032,20.59983560630662,15.547872193758625
group,42,HGB,P1,GI (%),1966,605,0.9476142819098365,0.6900612695058994,0.25755301240393713,18.804469479375708,12.993876979161897
group,42,XGBoost,P1,GI (%),1966,605,0.947786857815188,0.672342462725082,0.275444395090106,19.33451319393571,13.17357425555121
group,42,LightGBM,P1,GI (%),1966,605,0.8900962218626046,0.6851915270593008,0.20490469480330387,18.951621182629477,13.689615773610319
group,42,CatBoost,P1,GI (%),1966,605,0.8192959614448105,0.649962143758041,0.16933381768676958,19.983919343462606,14.595867694249977
group,84,Ridge,P1,GI (%),1901,670,0.49685862946844317,0.40728759593106356,0.08957103353737961,24.283086233265703,18.52637548046709
group,84,KNN,P1,GI (%),1901,670,0.9999999999998163,0.7107610356594387,0.28923896434037755,16.963297274363978,11.927404210126703
group,84,SVR,P1,GI (%),1901,670,0.7643478273949023,0.7128647874299803,0.051483039964921984,16.901494234574486,12.273785336397752
group,84,RF,P1,GI (%),1901,670,0.8067910099345564,0.7243223911454819,0.08246861878907452,16.560849889147267,12.489515212090321
group,84,ExtraTrees,P1,GI (%),1901,670,0.770003395849044,0.6816317917052841,0.08837160414375989,17.79699673345804,13.547119526205414
group,84,HGB,P1,GI (%),1901,670,0.93993242648911,0.7947392032090882,0.14519322328002182,14.290087211923579,10.299912261349375
group,84,XGBoost,P1,GI (%),1901,670,0.9464793943077952,0.8003248205603894,0.1461545737474057,14.094313125887217,10.38890869659058
group,84,LightGBM,P1,GI (%),1901,670,0.8822850856879063,0.7629961127559883,0.11928897293191798,15.355346066219422,11.565864388903618
group,84,CatBoost,P1,GI (%),1901,670,0.8203417825826159,0.744305761809803,0.0760360207728129,15.94932636508051,12.445655144076103
