feature_set,validation,seed,train_r2,test_r2,gap,test_rmse,test_mae
P0,random,0,0.936686237302022,0.8409548535124481,0.09573138378957391,13.462851361935643,9.556349553848879
P0,random,7,0.9367985639832883,0.809103753624695,0.1276948103585933,14.647853691346315,10.05649240291977
P0,random,21,0.9358744823904406,0.8243731396777432,0.1115013427126974,14.161290060496869,9.282506844807454
P0,random,42,0.936005848843072,0.8391036903319815,0.09690215851109052,13.36313820764023,9.40964264690874
P0,random,84,0.935837987800393,0.8160377737031204,0.1198002140972726,14.556493130590486,9.73073683787495
P0,group,0,0.9391270400784146,0.723452846081715,0.21567419399669963,16.439506715844814,11.507386419794178
P0,group,7,0.9447987022017579,0.6932067435814532,0.2515919586203047,17.712500694106293,12.822247703758645
P0,group,21,0.9382301073099845,0.7302890310093088,0.2079410763006757,15.702231125253345,11.29066172969593
P0,group,42,0.9413582250796125,0.6538385012586789,0.2875197238209336,19.872959238015213,13.873475746177254
P0,group,84,0.9351090909729537,0.785659340442673,0.14944975053028065,14.602733366989318,10.922626132178163
P0+EC,random,0,0.9374479790852477,0.8379627255317859,0.09948525355346183,13.588900087306726,9.616060804608038
P0+EC,random,7,0.9415011539710064,0.8164201159480561,0.12508103802295034,14.36441171943932,9.771654732192694
P0+EC,random,21,0.9378762530758672,0.824471156387135,0.11340509668873222,14.157337826853837,9.367066708285813
P0+EC,random,42,0.9403955954436305,0.8352484966223852,0.10514709882124529,13.522285828684545,9.5131659906029
P0+EC,random,84,0.9371741531759276,0.8245262726483192,0.11264788052760832,14.216689622881027,9.561799760711336
P0+EC,group,0,0.9416829635183706,0.7085301501715363,0.23315281334683424,16.87722358734018,11.535507566463348
P0+EC,group,7,0.947420650770872,0.6936252621256975,0.2537953886451745,17.70041512877854,12.721954337217486
P0+EC,group,21,0.9437782435323341,0.7303244414319827,0.21345380210035136,15.701200316431523,11.228345782720933
P0+EC,group,42,0.9429229628637215,0.6675497980713179,0.2753731647924036,19.475403351322562,13.560443953486207
P0+EC,group,84,0.9407483785618033,0.7908692690903891,0.14987910947141414,14.424168986383796,10.865094611061565
P1,random,0,0.9395876233164473,0.8565247387865997,0.08306288452984756,12.786902472415981,8.840461491798836
P1,random,7,0.9439704022616389,0.8202015681129399,0.12376883414869899,14.215699968424222,9.468436553840787
P1,random,21,0.9450538978406817,0.842720661990304,0.10233323585037768,13.401184485287617,8.605713153540005
P1,random,42,0.9451008288980322,0.8479321373997017,0.0971686914983304,12.9913456957504,8.8335017699659
P1,random,84,0.9428149296608309,0.8424896707730725,0.10032525888775845,13.469359703143098,8.741375439722427
P1,group,0,0.9475785073239754,0.7525929570799554,0.19498555024401998,15.549277510601183,10.596431717747446
P1,group,7,0.9503801740790522,0.7242965795851157,0.22608359449393645,16.79105764889467,11.590882939984118
P1,group,21,0.9481391031421084,0.7822546016056793,0.16588450153642909,14.108685539448196,10.093268924338165
P1,group,42,0.947786857815188,0.672342462725082,0.275444395090106,19.33451319393571,13.17357425555121
P1,group,84,0.9464793943077952,0.8003248205603894,0.1461545737474057,14.094313125887217,10.38890869659058
