target_short,target,model,validation,seed,train_r2,test_r2,gap,test_rmse,n,groups
GI,GI (%),XGBoost,random,0,0.9395876233164473,0.8565247387865997,0.08306288452984756,12.786902472415981,2571,326
GI,GI (%),XGBoost,random,7,0.9439704022616389,0.8202015681129399,0.12376883414869899,14.215699968424222,2571,326
GI,GI (%),XGBoost,random,21,0.9450538978406817,0.842720661990304,0.10233323585037768,13.401184485287617,2571,326
GI,GI (%),XGBoost,random,42,0.9451008288980322,0.8479321373997017,0.0971686914983304,12.9913456957504,2571,326
GI,GI (%),XGBoost,random,84,0.9428149296608309,0.8424896707730725,0.10032525888775845,13.469359703143098,2571,326
GI,GI (%),XGBoost,group,0,0.9475785073239754,0.7525929570799554,0.19498555024401998,15.549277510601183,2571,326
GI,GI (%),XGBoost,group,7,0.9503801740790522,0.7242965795851157,0.22608359449393645,16.79105764889467,2571,326
GI,GI (%),XGBoost,group,21,0.9481391031421084,0.7822546016056793,0.16588450153642909,14.108685539448196,2571,326
GI,GI (%),XGBoost,group,42,0.947786857815188,0.672342462725082,0.275444395090106,19.33451319393571,2571,326
GI,GI (%),XGBoost,group,84,0.9464793943077952,0.8003248205603894,0.1461545737474057,14.094313125887217,2571,326
C/N,C/N,XGBoost,random,0,0.9775501082639195,0.9448854786858805,0.03266462957803906,1.820992846596969,2611,432
C/N,C/N,XGBoost,random,7,0.9759653042539863,0.9414265221923692,0.03453878206161709,1.9875949281673488,2611,432
C/N,C/N,XGBoost,random,21,0.9785685896209629,0.9247653267336906,0.05380326288727233,2.355043204375333,2611,432
C/N,C/N,XGBoost,random,42,0.9800725864132358,0.9103427459641992,0.06972984044903663,2.5484129342107726,2611,432
C/N,C/N,XGBoost,random,84,0.9812575130171226,0.9163718037098803,0.06488570930724236,2.3447332269806083,2611,432
C/N,C/N,XGBoost,group,0,0.9797119354092675,0.8781320287482061,0.10157990666106143,2.920226560283738,2611,432
C/N,C/N,XGBoost,group,7,0.9801606792238873,0.896046088333203,0.0841145908906843,2.457560343067554,2611,432
C/N,C/N,XGBoost,group,21,0.9793561381916942,0.890516562566928,0.08883957562476619,2.5993110876458285,2611,432
C/N,C/N,XGBoost,group,42,0.9792821776567149,0.9069598283460806,0.0723223493106343,2.3201981019377254,2611,432
C/N,C/N,XGBoost,group,84,0.9787785943179992,0.8386560069847585,0.14012258733324068,3.673805082930949,2611,432
NH4-N,NH4+-N (g/Kg),XGBoost,random,0,0.9712790597335674,0.8391701042320323,0.13210895550153512,0.45866844592289857,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,random,7,0.9728290041056613,0.8167674044098296,0.15606159969583167,0.47740336430410646,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,random,21,0.9709934767415863,0.8509735914404198,0.12001988530116647,0.4551826563945247,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,random,42,0.9694547355406925,0.8652830301091072,0.10417170543158527,0.42815520359229653,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,random,84,0.9695826291793305,0.860863640261019,0.10871898891831144,0.42920235827444886,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,group,0,0.9713353964953205,0.7066546336620042,0.2646807628333163,0.6818631080484621,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,group,7,0.9702416273141067,0.811946224298464,0.1582954030156427,0.5390626952515492,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,group,21,0.9713777921338377,0.7063827078575133,0.26499508427632434,0.6159131477734925,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,group,42,0.9663946152826555,0.7666430845221323,0.1997515307605232,0.6224479997329112,1204,139
NH4-N,NH4+-N (g/Kg),XGBoost,group,84,0.9807850775735062,0.6550052698410452,0.32577980773246096,0.6366700097361698,1204,139
NO3-N,NO3--N (g/Kg),XGBoost,random,0,0.9604358364681284,0.8403243698546501,0.12011146661347827,0.10069374665577373,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,random,7,0.9721976164492866,0.8188825755869363,0.15331504086235026,0.10109646898168495,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,random,21,0.968768022576904,0.7887630114839693,0.18000501109293465,0.1110582889001132,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,random,42,0.968966261133182,0.8325792733313067,0.1363869878018753,0.10158720104730741,1210,148
