analysis,feature_set,validation,seed,train_n,test_n,train_groups,test_groups,train_r2,test_r2,gap,rmse,mae
day_sensitivity,P0_no_day,random,0,1928,643,321,273,0.9073731973318775,0.7966063141840242,0.11076688314785332,15.22458888156207,10.75622021974353
day_sensitivity,P0_no_day,random,7,1928,643,322,274,0.915975748465686,0.7782272840444975,0.1377484644211885,15.788081388194415,10.891654023815855
day_sensitivity,P0_no_day,random,21,1928,643,325,273,0.9136824739919608,0.7928481477761374,0.12083432621582335,15.379837967495602,10.382122075792088
day_sensitivity,P0_no_day,random,42,1928,643,324,275,0.9124090603087848,0.8087502087295476,0.10365885157923715,14.569206651115856,10.481732292655568
day_sensitivity,P0_no_day,random,84,1928,643,317,287,0.9126763670105417,0.7671896106290589,0.14548675638148278,16.375463826126303,10.995370168984989
day_sensitivity,P0_no_day,group,0,1960,611,244,82,0.9170066196314837,0.6271117876016135,0.2898948320298702,19.089454260000952,13.171947465874446
day_sensitivity,P0_no_day,group,7,1933,638,244,82,0.9268530691458239,0.5973100807908136,0.3295429883550103,20.292817730003723,13.986890812989955
day_sensitivity,P0_no_day,group,21,1911,660,244,82,0.9192881150460277,0.690831491659485,0.2284566233865427,16.811624695615183,12.167222467693906
day_sensitivity,P0_no_day,group,42,1966,605,244,82,0.9199658438615954,0.6288665310137813,0.2910993128478141,20.577292026055392,14.726047358804282
day_sensitivity,P0_no_day,group,84,1901,670,244,82,0.919321731447519,0.6910253836461394,0.22829634780137964,17.532476881008684,12.692680999256492
day_sensitivity,P1_no_day,random,0,1928,643,321,273,0.9218459344872532,0.823038815948337,0.0988071185389161,14.200899321411148,9.726760854027052
day_sensitivity,P1_no_day,random,7,1928,643,322,274,0.9282220917254801,0.7970513708035973,0.13117072092188276,15.10317866942883,9.965662211751251
day_sensitivity,P1_no_day,random,21,1928,643,325,273,0.9218449421090392,0.8160777501525109,0.10576719195652828,14.491871852280092,9.310202852239215
day_sensitivity,P1_no_day,random,42,1928,643,324,275,0.9215922793587552,0.8231934834594503,0.09839879589930489,14.008271563525703,9.769048307168072
day_sensitivity,P1_no_day,random,84,1928,643,317,287,0.9220168656711414,0.7978707146501939,0.1241461510209475,15.258331696014277,9.893956774162046
day_sensitivity,P1_no_day,group,0,1960,611,244,82,0.9260665251364377,0.644967433868032,0.2810990912684057,18.626801268307037,12.384072554994416
day_sensitivity,P1_no_day,group,7,1933,638,244,82,0.9349783114509178,0.6293749483537814,0.3056033630971364,19.468135543484056,13.164091719159616
day_sensitivity,P1_no_day,group,21,1911,660,244,82,0.9228650222688713,0.7368018277027932,0.18606319456607812,15.511489223684096,10.869725800163097
day_sensitivity,P1_no_day,group,42,1966,605,244,82,0.9301532320889078,0.6427086883012263,0.2874445437876815,20.1899102440702,13.823161152320987
day_sensitivity,P1_no_day,group,84,1901,670,244,82,0.9292082846754836,0.7077320108977632,0.2214762737777204,17.051889113322307,12.153144222480845
day_sensitivity,Day_plus_waste,random,0,1928,643,321,273,0.588518080837447,0.5450566681316233,0.04346141270582371,22.76960479033456,17.097701771193737
day_sensitivity,Day_plus_waste,random,7,1928,643,322,274,0.5956076149254994,0.5025227418882083,0.09308487303729107,23.64623029678977,17.317955414647205
day_sensitivity,Day_plus_waste,random,21,1928,643,325,273,0.595691582394666,0.49241801659786133,0.10327356579680469,24.074675876871062,17.763750505920978
day_sensitivity,Day_plus_waste,random,42,1928,643,324,275,0.6017167600464812,0.4928694005921411,0.1088473594543401,23.72440484671675,17.578565797364238
day_sensitivity,Day_plus_waste,random,84,1928,643,317,287,0.5795567042780226,0.5534662504139617,0.026090453864060947,22.678774142113397,16.73043835459505
day_sensitivity,Day_plus_waste,group,0,1960,611,244,82,0.5950057606962934,0.47625779631896104,0.11874796437733237,22.62366549799361,16.73500216975207
day_sensitivity,Day_plus_waste,group,7,1933,638,244,82,0.5990097125009288,0.4582645560076173,0.14074515649331154,23.53697256740328,17.459719275704416
day_sensitivity,Day_plus_waste,group,21,1911,660,244,82,0.5910920147525327,0.5238067836068919,0.06728523114564078,20.86429252644891,15.779620231238358
day_sensitivity,Day_plus_waste,group,42,1966,605,244,82,0.5937195077491699,0.504657282946529,0.08906222480264092,23.77256543548237,17.550155639878422
day_sensitivity,Day_plus_waste,group,84,1901,670,244,82,0.5873126054698976,0.5321230585255293,0.055189546944368284,21.574845540998638,16.65958689063778
