alpha,nominal_coverage,seed,proper_train_n,calibration_n,test_n,proper_train_groups,calibration_groups,test_groups,qhat_gi_units,interval_width_gi_units,coverage,r2,rmse,mae
0.1,0.9,0,1486,474,611,183,61,82,26.359281335449225,52.71856267089845,0.8985270049099836,0.6950584063075329,17.262850845068883,11.714070983679001
0.1,0.9,7,1431,502,638,183,61,82,29.078475390625,58.15695078125,0.8918495297805643,0.6909522720749126,17.777461762978085,12.159527131941282
0.1,0.9,21,1473,438,660,183,61,82,29.90886192554487,59.81772385108974,0.9318181818181818,0.716805455983331,16.089942864833816,11.054703144920584
0.1,0.9,42,1498,468,605,183,61,82,29.286854104980463,58.57370820996093,0.8661157024793389,0.6153260255461785,20.949302256258207,14.445304066562715
0.1,0.9,84,1473,428,670,183,61,82,31.308326721191406,62.61665344238281,0.9507462686567164,0.7852623480092081,14.616250384318151,10.500015391004775
0.05,0.95,0,1486,474,611,183,61,82,30.508932037353517,61.017864074707035,0.9247135842880524,0.6950584063075329,17.262850845068883,11.714070983679001
0.05,0.95,7,1431,502,638,183,61,82,42.97505261230469,85.95010522460937,0.9639498432601881,0.6909522720749126,17.777461762978085,12.159527131941282
0.05,0.95,21,1473,438,660,183,61,82,44.80614544677734,89.61229089355469,0.9712121212121212,0.716805455983331,16.089942864833816,11.054703144920584
0.05,0.95,42,1498,468,605,183,61,82,42.17992590332031,84.35985180664062,0.9305785123966942,0.6153260255461785,20.949302256258207,14.445304066562715
0.05,0.95,84,1473,428,670,183,61,82,44.49807080078125,88.9961416015625,0.9835820895522388,0.7852623480092081,14.616250384318151,10.500015391004775
